CODE,ORIG,FIRM_ID,YEAR,PRICE,QUANTITY,HP,LENGTH,WIDTH,SIZE,WEIGHT,FUEL,MPG,FUELPRICE,SEGMENT,steel_price,brand_id,model_id
10104,1,4,1996,23.48092,856,.0457462,174.8031,68.11024,1.190588,2830.396,0,35.90678,.7653,3,1.012,1,36
10105,1,4,1996,20.10245,4010,.0397974,167.3228,67.32284,1.126465,2588.106,0,38.55977,.7653,2,1.012,1,35
10201,1,19,1996,25.44531,110,.0440745,188.5827,69.68504,1.314139,3017.621,0,33.60209,.7653,4,1.012,2,1
10202,1,19,1996,7.232767,146233,.0475449,176.378,66.53543,1.173538,2797.357,0,36.75228,.7653,3,1.012,2,20
10203,1,19,1996,30.08926,21,.0521839,172.0472,67.71654,1.165044,2874.449,0,35.10666,.7653,4,1.012,2,70
10204,1,19,1996,48.91126,1,.0463265,175.9843,68.11024,1.198633,2698.238,0,40.55424,.7653,3,1.012,2,28
10205,1,19,1996,55.44968,1,.0472917,188.5827,70.07874,1.321564,3171.806,0,33.60209,.7653,4,1.012,2,29
10206,1,19,1996,44.30607,1,.0550593,198.0315,74.01575,1.465745,3255.947,0,33.57331,.7653,4,1.012,2,30
10207,1,19,1996,26.0512,277,.0497807,163.3858,68.11024,1.112825,2511.013,0,39.86688,.7653,2,1.012,2,27
10302,1,1,1996,30.71613,58,.0490235,170.0787,64.56693,1.098146,2345.815,0,39.20243,.7653,3,1.012,3,146
10304,1,1,1996,55.68056,1,.0568203,185.8268,68.89764,1.280303,3379.075,0,33.53502,.7653,4,1.012,3,148
10305,1,1,1996,42.5576,1,.0582188,193.3071,72.83465,1.407945,3744.493,0,29.40182,.7653,4,1.012,3,150
10306,1,1,1996,32.45414,7,.0450086,158.2677,66.53543,1.053041,2555.066,0,39.86688,.7653,4,1.012,3,183
10402,3,2,1996,31.87532,22,.0448429,177.9528,69.29134,1.233058,3590.308,0,29.40182,.7653,5,1.012,4,175
10404,3,2,1996,21.53086,2316,.0540379,171.6535,67.32284,1.15562,2442.731,0,37.33565,.7653,3,1.012,4,113
10405,3,2,1996,40.87926,1,.0440548,185.8268,70.86614,1.316883,2973.568,0,36.75228,.7653,4,1.012,4,157
10408,3,2,1996,23.90303,483,.0584718,201.5748,74.40945,1.499907,3557.269,0,31.78575,.7653,4,1.012,4,174
10501,1,14,1996,9.576828,183214,.0387084,138.5827,61.02362,.8456817,1493.965,0,58.04901,.7653,1,1.012,5,48
10502,1,14,1996,28.42899,98,.0439355,185.4331,70.47244,1.306792,3072.687,0,36.18686,.7653,4,1.012,5,179
10503,1,14,1996,19.13301,3736,.031144,160.2362,66.53543,1.066139,2279.736,0,53.45786,.7653,2,1.012,5,185
10504,1,14,1996,20.96061,2361,.0412058,174.8031,68.89764,1.204352,2718.062,0,39.86688,.7653,3,1.012,5,177
10505,1,14,1996,29.87908,44,.0356818,175.1969,71.25984,1.24845,3447.136,0,32.66869,.7653,5,1.012,5,80
10506,1,14,1996,16.22748,18903,.0338385,146.063,62.59843,.9143313,1773.128,0,48.00298,.7653,1,1.012,5,139
10601,2,3,1996,16.20388,16184,.0345483,176.378,65.35433,1.152706,2257.709,0,44.38011,.7653,2,1.012,6,114
10602,2,3,1996,19.82696,3617,.037149,181.4961,67.32284,1.221883,2557.269,0,41.26572,.7653,3,1.012,6,43
10701,1,4,1996,22.45453,1703,.0255775,127.1654,58.66142,.74597,1563.877,0,58.80365,.7653,1,1.012,7,60
10703,1,4,1996,7.634923,29172,.0287342,134.252,59.05512,.7928266,1740.088,0,38.55977,.7653,1,1.012,7,119
10704,1,4,1996,31.77817,107,.0386932,148.4252,63.77953,.9466489,1938.326,0,44.38011,.7653,1,1.012,7,131
10705,1,4,1996,11.73366,21463,.0377237,171.2598,66.92913,1.146227,2279.736,0,47.04292,.7653,2,1.012,7,163
10708,1,4,1996,29.64029,82,.0515744,167.3228,69.29134,1.159402,2753.304,0,33.60209,.7653,4,1.012,7,70
