id,year,Y,Y2,L,K,M,industry,country
90522,1992,21675.49609375,9157.090820313,45.217968,1040.827148438,12518.40625,"metal","chile"
90522,1995,23303.5,13754.66992188,49.990284,3931.025878906,9548.830078125,"metal","chile"
90522,1996,23578.53515625,13326.47949219,50.731224,3833.216308594,10252.0546875,"metal","chile"
90612,1979,159365.15625,103678.5703125,591.72003,84452.640625,55686.59375,"metal","chile"
90612,1980,169178.28125,108770.6640625,478.41516,94269.671875,60407.61328125,"metal","chile"
90612,1981,199930.46875,72783.4453125,459.04031,106782.734375,127147.03125,"metal","chile"
90612,1982,121369.703125,95698.3203125,331.68085,117656,25671.3828125,"metal","chile"
90612,1983,73534.359375,34861.046875,253.02119,118688.609375,38673.30859375,"metal","chile"
90612,1984,89323.75,38097.02734375,255.01781,108228.875,51226.72265625,"metal","chile"
90612,1985,110167.0625,51359.99609375,300.68597,100078.71875,58807.06640625,"metal","chile"
90612,1986,130955.984375,58261.95703125,329.53784,92869.875,72694.03125,"metal","chile"
90612,1987,132079.859375,53208.03125,396.4321,86190.3671875,78871.8359375,"metal","chile"
90612,1988,143735.328125,82366.859375,344.60858,80593.984375,61368.46484375,"metal","chile"
90612,1989,166058.96875,75926.6015625,367.09534,78028.8359375,90132.3671875,"metal","chile"
90612,1990,177382.265625,88253.3515625,442.23074,80756.2578125,89128.9140625,"metal","chile"
90612,1991,207981.515625,112569.984375,430.27368,85780.3515625,95411.5234375,"metal","chile"
90612,1992,287818.875,159109.46875,559.54944,99825.4453125,128709.3984375,"metal","chile"
90612,1993,363411.46875,191619.546875,634.48621,140206.96875,171791.921875,"metal","chile"
90612,1994,359266.5625,147637.96875,544.69061,182433.234375,211628.59375,"metal","chile"
90612,1995,395870.8125,253593.15625,441.04895,203625.234375,142277.671875,"metal","chile"
90612,1996,439577.34375,269807.125,383.48059,224653.90625,169770.234375,"metal","chile"
90621,1980,11353.76953125,5254.127441406,20.11585,1691.135986328,6099.642089844,"metal","chile"
90639,1979,26284.96484375,22211.49609375,71.062729,3964.731689453,4073.468261719,"metal","chile"
90639,1980,28761.40625,11794.671875,69.578575,4381.375976563,16966.734375,"metal","chile"
90639,1981,41947.2265625,16052.70507813,79.728279,5532.104492188,25894.51953125,"metal","chile"
90639,1982,29031.69140625,15861.45605469,73.748665,6193.495117188,13170.23339844,"metal","chile"
90639,1983,25083.27539063,12131.57714844,81.706436,6935.161132813,12951.69824219,"metal","chile"
90639,1984,25680.21679688,9639.934570313,90.337311,8120.286621094,16040.28222656,"metal","chile"
90639,1985,22622.71484375,9824.463867188,84.486526,8723.064453125,12798.25195313,"metal","chile"
90639,1986,30552.89648438,14992.59082031,135.37334,8586.157226563,15560.30664063,"metal","chile"
90639,1987,31823.04101563,15784.37011719,115.36962,9247.404296875,16038.66992188,"metal","chile"
90639,1988,38531.1796875,26661.61523438,113.64762,9802.4765625,11869.56054688,"metal","chile"
90639,1989,40772.125,12996.54492188,148.27974,9396.655273438,27775.58007813,"metal","chile"
90639,1991,51434.6640625,24828.21484375,161.37923,10627.40039063,26606.44921875,"metal","chile"
90639,1992,63008.16796875,28677.06640625,180.50449,12528.55859375,34331.1015625,"metal","chile"
90639,1995,74285.6484375,27832.80664063,209.97307,19237.20898438,46452.84375,"metal","chile"
90639,1996,78311.140625,44253.8828125,193.78612,18191.55078125,34057.26171875,"metal","chile"
90684,1979,33877.24609375,25030.22265625,71.670105,9926.735351563,8847.0234375,"metal","chile"
90684,1980,42637.5234375,27843.83789063,80.919312,9201.455078125,14793.68554688,"metal","chile"
